UDI,Date,System,Control,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Diagnostic,TWF,HDF,PWF,OSF,RNF,Machine failure
1,15/04/2014 11:56,0,C,M14860,M,300.0521424352542,310.04913073615586,1541.695557690741,42.8,0.0,No failure,0,0,0,0,0,0
2,12/04/2014 16:09,0,A,L47181,L,298.2,308.7,1408.0,39.98472943726057,109.57244354349153,No failure,0,0,0,0,0,0
3,13/04/2014 01:13,0,A,L47182,L,298.1,308.5,1498.0,39.93763655599941,109.40819731057196,No failure,0,0,0,0,0,0
4,24/07/2014 20:35,0,B,L47183,L,300.06737197867625,310.03580026448674,1433.0,39.5,109.52866369392976,No failure,0,0,0,0,0,0
5,22/07/2014 01:31,0,C,L47184,L,300.05167442304906,310.04872943003,1541.5500775110404,40.0,9.0,No failure,0,0,0,0,0,0
6,26/07/2014 15:23,0,B,M14865,M,300.06893591799394,310.0351905104401,1425.0,41.9,109.541365412303,No failure,0,0,0,0,0,0
7,26/07/2014 11:03,0,C,L47186,L,300.05197932674764,310.0489726967033,1541.6437211786033,42.4,14.0,No failure,0,0,0,0,0,0
8,22/07/2014 01:24,0,B,L47187,L,300.0557532982579,310.046160069366,1527.0,40.2,109.4213570760302,No failure,0,0,0,0,0,0
9,31/10/2014 16:33,0,C,M14868,M,300.05583132964927,310.04275072242984,1541.0842211594083,28.6,18.0,No failure,0,0,0,0,0,0
10,29/10/2014 10:44,0,C,M14869,M,300.0565073668504,310.0419161822339,1541.0522071620771,28.0,21.0,No failure,0,0,0,0,0,0
11,30/10/2014 02:26,0,C,H29424,H,300.0799877699305,310.0237509370717,1541.4950250638703,23.9,24.0,No failure,0,0,0,0,0,0
12,29/01/2015 09:46,0,B,H29425,H,300.06905400432527,310.03483914818827,1423.0,44.3,109.60076612158136,No failure,0,0,0,0,0,0
13,26/01/2015 23:47,0,B,M14872,M,300.0836812088174,310.02675647423564,1339.0,51.1,109.64956267731229,No failure,0,0,0,0,0,0
14,27/01/2015 01:28,0,B,M14873,M,300.0413729054714,310.05267538324074,1742.0,30.0,109.3570559900011,No failure,0,0,0,0,0,0
15,28/01/2015 21:16,0,B,L47194,L,300.0748940991189,310.024969103004,2035.0,19.6,109.51757968153137,No failure,0,0,0,0,0,0
16,19/05/2015 01:38,0,A,L47195,L,298.6,309.2,1542.0,39.988803857830725,109.31503198759853,No failure,0,0,0,0,0,0
17,21/05/2015 11:44,0,A,M14876,M,298.6,309.2,1311.0,39.991816730377124,109.27945699732938,No failure,0,0,0,0,0,0
18,21/05/2015 14:21,0,A,M14877,M,298.7,309.2,1410.0,39.98474121587942,109.4005704630771,No failure,0,0,0,0,0,0
19,19/05/2015 02:53,0,A,H29432,H,298.8,309.2,1306.0,39.980314418295364,109.49040222115407,No failure,0,0,0,0,0,0
20,19/05/2015 07:14,0,C,M14879,M,300.05579698174563,310.04378612217505,1541.3313212523178,32.5,55.0,No failure,0,0,0,0,0,0
21,07/09/2015 14:49,0,A,H29434,H,298.9,309.3,1375.0,39.9787866332755,109.44176198307913,No failure,0,0,0,0,0,0
22,17/12/2015 17:09,0,C,L47201,L,300.05195484285736,310.04887061503825,1541.6298581366261,44.8,63.0,No failure,0,0,0,0,0,0
23,16/12/2015 19:45,0,A,M14882,M,298.9,309.3,1581.0,39.97610061740216,109.47348356136328,No failure,0,0,0,0,0,0
24,31/03/2016 14:36,0,B,L47203,L,300.04292543071654,310.04960983599557,1758.0,25.7,109.33072191790731,No failure,0,0,0,0,0,0
25,02/04/2016 18:11,0,A,M14884,M,299.0,309.4,1561.0,39.97573449866627,109.41113099309263,No failure,0,0,0,0,0,0
26,03/04/2016 18:18,0,C,L47205,L,300.07383900197595,310.0264077188734,1541.3211465426098,23.3,73.0,No failure,0,0,0,0,0,0
27,01/04/2016 19:25,0,C,L47206,L,300.05252529988695,310.0487493559581,1541.7142173815805,39.0,75.0,No failure,0,0,0,0,0,0
28,29/06/2016 06:11,0,B,H29441,H,300.0394344154751,310.0515792507123,1811.0,24.6,109.37252780265034,No failure,0,0,0,0,0,0
29,02/07/2016 06:33,0,B,L47208,L,300.0665294157925,310.0365731427111,1439.0,44.2,109.60168948634002,No failure,0,0,0,0,0,0
30,30/06/2016 23:40,0,C,L47209,L,300.0598119522394,310.0391263200113,1541.215166039526,30.1,84.0,No failure,0,0,0,0,0,0
31,10/09/2016 22:05,0,C,M14890,M,300.05226717979457,310.04909034227325,1541.7236471571848,48.2,86.0,No failure,0,0,0,0,0,0
32,09/09/2016 23:06,0,A,L47211,L,299.0,309.4,1798.0,39.97681518694566,109.43746506518642,No failure,0,0,0,0,0,0
33,11/09/2016 07:38,0,A,L47212,L,299.0,309.4,1419.0,39.977586686480265,109.38926833301919,No failure,0,0,0,0,0,0
34,08/09/2016 16:44,0,C,L47213,L,300.05872842560075,310.0408332648287,1541.3576664828117,32.5,93.0,No failure,0,0,0,0,0,0
35,27/12/2016 12:23,0,C,M14894,M,300.0572533328605,310.0428838544724,1541.4839600670628,34.7,95.0,No failure,0,0,0,0,0,0
36,27/12/2016 23:41,0,C,M14895,M,300.0522342762643,310.04904308272114,1541.7120189175184,48.6,98.0,No failure,0,0,0,0,0,0
37,30/12/2016 18:27,0,A,M14896,M,298.9,309.2,1581.0,39.970944036225255,109.63862044139259,No failure,0,0,0,0,0,0
38,27/12/2016 21:57,0,A,L47217,L,298.8,309.1,1439.0,39.973420490838244,109.67599853764719,No failure,0,0,0,0,0,0
39,13/04/2017 16:14,0,B,H29452,H,300.0773367458836,310.03106687576746,1379.0,50.7,109.65048240677663,No failure,0,0,0,0,0,0
40,13/04/2017 22:34,0,C,L47219,L,300.0523568718589,310.04910598361056,1541.5805834710402,52.5,111.0,No failure,0,0,0,0,0,0
41,11/04/2017 20:19,0,B,L47220,L,300.0788360054566,310.0283450765918,1362.0,45.4,109.6035107687971,No failure,0,0,0,0,0,0
42,14/04/2017 09:19,0,B,L47221,L,300.0790790829286,310.02987978602346,1368.0,50.8,109.65014795969869,No failure,0,0,0,0,0,0
43,12/04/2017 05:05,0,A,M14902,M,298.8,309.1,1368.0,39.97434952939995,109.66508174878777,No failure,0,0,0,0,0,0
44,21/07/2017 14:25,0,B,H29457,H,300.0779498295424,310.0299430224531,1372.0,48.5,109.63099359389773,No failure,0,0,0,0,0,0
45,22/07/2017 03:27,0,A,M14904,M,298.8,309.1,1472.0,39.972990080474474,109.68108794970286,No failure,0,0,0,0,0,0
46,24/07/2017 12:06,0,A,L47225,L,298.8,309.1,1489.0,39.97277070369841,109.68367991455692,No failure,0,0,0,0,0,0
47,22/07/2017 11:25,0,A,M14906,M,298.7,309.0,1843.0,39.968774316478125,109.79752279165369,No failure,0,0,0,0,0,0
48,22/07/2017 11:25,0,B,L47227,L,300.0702738657199,310.03461769163056,1418.0,46.3,109.61726308723038,No failure,0,0,0,0,0,0
49,03/10/2017 15:06,0,C,H29462,H,300.05271109562426,310.0492982739783,1541.503437368504,53.9,135.0,No failure,0,0,0,0,0,0
50,10/12/2017 01:44,0,A,M14909,M,298.9,309.2,1412.0,39.97314860105315,109.61260263990512,No failure,0,0,0,0,0,0
51,08/12/2017 19:31,0,B,L47230,L,300.17409929973644,309.95211596104156,2861.0,4.6,110.15887468290084,Power Failure,0,0,1,0,0,1
52,13/12/2017 07:05,0,A,L47231,L,298.9,309.1,1383.0,39.96836991723098,109.7732572020311,No failure,0,0,0,0,0,0
53,26/02/2018 23:31,0,B,H29466,H,300.05821616624996,310.0434492139643,1497.0,43.8,109.57007333159132,No failure,0,0,0,0,0,0
54,27/02/2018 03:36,0,C,L47233,L,300.06135397935594,310.0388555648492,1541.5462074875265,35.1,152.0,No failure,0,0,0,0,0,0
