UDI,Date,System,Control,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Diagnostic,TWF,HDF,PWF,OSF,RNF,Machine failure
1,15/04/2014 11:56,0,C,M14860,M,300.00735545944593,310.00339558609556,1536.3334022807453,42.8,0.0,No failure,0,0,0,0,0,0
2,12/04/2014 16:09,0,A,L47181,L,298.2,308.7,1408.0,40.13554893349465,0.0,No failure,0,0,0,0,0,0
3,13/04/2014 01:13,0,A,L47182,L,298.1,308.5,1498.0,40.13235227633306,0.0,No failure,0,0,0,0,0,0
4,24/07/2014 20:35,0,B,L47183,L,300.00616180717276,310.0031737045328,1433.0,39.5,0.0,No failure,0,0,0,0,0,0
5,22/07/2014 01:31,0,C,L47184,L,300.007125337032,310.0036965420044,1536.2010544355844,40.0,9.0,No failure,0,0,0,0,0,0
6,26/07/2014 15:23,0,B,M14865,M,300.00628730146775,310.0028708638142,1425.0,41.9,9.0,No failure,0,0,0,0,0,0
7,26/07/2014 11:03,0,C,L47186,L,300.00732258481537,310.00343862989143,1536.3144993910723,42.4,14.0,No failure,0,0,0,0,0,0
8,22/07/2014 01:24,0,B,L47187,L,300.0070621143022,310.0036252698943,1527.0,40.2,14.0,No failure,0,0,0,0,0,0
9,31/10/2014 16:33,0,C,M14868,M,300.00618843978486,310.0049218437046,1535.6622028227343,28.6,18.0,No failure,0,0,0,0,0,0
10,29/10/2014 10:44,0,C,M14869,M,300.0061390981151,310.0049862779,1535.6338723396598,28.0,21.0,No failure,0,0,0,0,0,0
11,30/10/2014 02:26,0,C,H29424,H,300.0058021480138,310.0054270603962,1535.440048049217,23.9,24.0,No failure,0,0,0,0,0,0
12,29/01/2015 09:46,0,B,H29425,H,300.0064667149127,310.0026017305081,1423.0,44.3,24.0,No failure,0,0,0,0,0,0
13,26/01/2015 23:47,0,B,M14872,M,300.00627184504106,310.0013999889303,1339.0,51.1,24.0,No failure,0,0,0,0,0,0
14,27/01/2015 01:28,0,B,M14873,M,300.00815170321044,310.0059265349928,1742.0,30.0,24.0,No failure,0,0,0,0,0,0
15,28/01/2015 21:16,0,B,L47194,L,300.00992479314027,310.00868633486584,2035.0,19.6,24.0,No failure,0,0,0,0,0,0
