UDI,Date,System,Control,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Diagnostic,TWF,HDF,PWF,OSF,RNF,Machine failure
1,15/04/2014 11:56,0,C,M14860,M,300.0075533277157,310.00619058369574,1535.8803806833496,42.8,0.0,No failure,0,0,0,0,0,0
2,12/04/2014 16:09,0,A,L47181,L,298.2,308.7,1408.0,40.13832381337141,2.25,No failure,0,0,0,0,0,0
3,13/04/2014 01:13,0,A,L47182,L,298.1,308.5,1498.0,40.13834052500595,4.5,No failure,0,0,0,0,0,0
4,24/07/2014 20:35,0,B,L47183,L,300.0075530899245,310.0061869894073,1433.0,39.5,6.75,No failure,0,0,0,0,0,0
5,22/07/2014 01:31,0,C,L47184,L,300.0075577268525,310.0061877783975,1535.8806116656647,40.0,9.0,No failure,0,0,0,0,0,0
6,26/07/2014 15:23,0,B,M14865,M,300.00754857189213,310.00618909338107,1425.0,41.9,11.5,No failure,0,0,0,0,0,0
7,26/07/2014 11:03,0,C,L47186,L,300.00755392219367,310.00619032069903,1535.8804409396057,42.4,14.0,No failure,0,0,0,0,0,0
8,22/07/2014 01:24,0,B,L47187,L,300.0075568945834,310.0061882167253,1527.0,40.2,16.0,No failure,0,0,0,0,0,0
9,31/10/2014 16:33,0,C,M14868,M,300.00757520450423,310.0061764695387,1535.8817364491117,28.6,18.0,No failure,0,0,0,0,0,0
10,29/10/2014 10:44,0,C,M14869,M,300.00757686904245,310.0061761188764,1535.881776619949,28.0,21.0,No failure,0,0,0,0,0,0
11,30/10/2014 02:26,0,C,H29424,H,300.0075835271955,310.0061729629158,1535.8821582429043,23.9,24.0,No failure,0,0,0,0,0,0
12,29/01/2015 09:46,0,B,H29425,H,300.0075448861288,310.00619154801706,1423.0,44.3,27.444444444444443,No failure,0,0,0,0,0,0
13,26/01/2015 23:47,0,B,M14872,M,300.0075296674933,310.0061973339448,1339.0,51.1,30.88888888888889,No failure,0,0,0,0,0,0
14,27/01/2015 01:28,0,B,M14873,M,300.00758519173377,310.00617892417466,1742.0,30.0,34.333333333333336,No failure,0,0,0,0,0,0
15,28/01/2015 21:16,0,B,L47194,L,300.00761634237824,310.00617156026664,2035.0,19.6,37.77777777777778,No failure,0,0,0,0,0,0
16,19/05/2015 01:38,0,A,L47195,L,298.6,309.2,1542.0,40.13831879988104,41.22222222222222,No failure,0,0,0,0,0,0
17,21/05/2015 11:44,0,A,M14876,M,298.6,309.2,1311.0,40.13829930297407,44.66666666666667,No failure,0,0,0,0,0,0
18,21/05/2015 14:21,0,A,M14877,M,298.7,309.2,1410.0,40.13830821584583,48.111111111111114,No failure,0,0,0,0,0,0
19,19/05/2015 02:53,0,A,H29432,H,298.8,309.2,1306.0,40.13830375940995,51.55555555555556,No failure,0,0,0,0,0,0
20,19/05/2015 07:14,0,C,M14879,M,300.00756997309827,310.00618102814843,1535.8813548261564,32.5,55.0,No failure,0,0,0,0,0,0
21,07/09/2015 14:49,0,A,H29434,H,298.9,309.3,1375.0,40.13830821584583,59.0,No failure,0,0,0,0,0,0
22,17/12/2015 17:09,0,C,L47201,L,300.0075499391914,310.0061927753351,1535.8802099572906,44.8,63.0,No failure,0,0,0,0,0,0
23,16/12/2015 19:45,0,A,M14882,M,298.9,309.3,1581.0,40.138327712752805,65.5,No failure,0,0,0,0,0,0
24,31/03/2016 14:36,0,B,L47203,L,300.0075925632603,310.0061755928829,1758.0,25.7,68.0,No failure,0,0,0,0,0,0
25,02/04/2016 18:11,0,A,M14884,M,299.0,309.4,1561.0,40.13832437042589,70.5,No failure,0,0,0,0,0,0
