UDI,Date,System,Control,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Diagnostic,TWF,HDF,PWF,OSF,RNF,Machine failure
1,15/04/2014 11:56,0,C,M14860,M,300.01088550934423,310.0089618824346,1528.4698992322326,42.8,0.0,No failure,0,0,0,0,0,0
2,12/04/2014 16:09,0,A,L47181,L,298.2,308.7,1408.0,39.936780189535035,0.0,No failure,0,0,0,0,0,0
3,13/04/2014 01:13,0,A,L47182,L,298.1,308.5,1498.0,39.932557999414534,0.0,No failure,0,0,0,0,0,0
4,24/07/2014 20:35,0,B,L47183,L,300.0102899911887,310.0087172740504,1433.0,39.5,0.0,No failure,0,0,0,0,0,0
5,22/07/2014 01:31,0,C,L47184,L,300.0107864153617,310.00947966580304,1528.519633766239,40.0,9.0,No failure,0,0,0,0,0,0
6,26/07/2014 15:23,0,B,M14865,M,300.01033487125,310.00820193170784,1425.0,41.9,9.0,No failure,0,0,0,0,0,0
7,26/07/2014 11:03,0,C,L47186,L,300.01087137436144,310.0090358609121,1528.47700744345,42.4,14.0,No failure,0,0,0,0,0,0
8,22/07/2014 01:24,0,B,L47187,L,300.010785729487,310.0094288880669,1527.0,40.2,11.5,No failure,0,0,0,0,0,0
9,31/10/2014 16:33,0,C,M14868,M,300.0103826737339,310.01158717276104,1528.72214895239,28.6,18.0,No failure,0,0,0,0,0,0
10,29/10/2014 10:44,0,C,M14869,M,300.0103613817978,310.0116980964948,1528.732806680313,28.0,21.0,No failure,0,0,0,0,0,0
11,30/10/2014 02:26,0,C,H29424,H,300.0102160956459,310.01245622194995,1528.8056463424539,23.9,24.0,No failure,0,0,0,0,0,0
12,29/01/2015 09:46,0,B,H29425,H,300.0104098105151,310.0077402919343,1423.0,44.3,21.0,No failure,0,0,0,0,0,0
13,26/01/2015 23:47,0,B,M14872,M,300.01022939565075,310.0057316135368,1339.0,51.1,21.0,No failure,0,0,0,0,0,0
14,27/01/2015 01:28,0,B,M14873,M,300.0115017826643,310.013238097927,1742.0,30.0,22.5,No failure,0,0,0,0,0,0
15,28/01/2015 21:16,0,B,L47194,L,300.0126022835162,310.0177821005537,2035.0,19.6,24.0,No failure,0,0,0,0,0,0
16,19/05/2015 01:38,0,A,L47195,L,298.6,309.2,1542.0,39.93001312024511,24.0,No failure,0,0,0,0,0,0
17,21/05/2015 11:44,0,A,M14876,M,298.6,309.2,1311.0,39.94093643505028,24.0,No failure,0,0,0,0,0,0
18,21/05/2015 14:21,0,A,M14877,M,298.7,309.2,1410.0,39.936024553607176,24.0,No failure,0,0,0,0,0,0
19,19/05/2015 02:53,0,A,H29432,H,298.8,309.2,1306.0,39.940711330909046,24.0,No failure,0,0,0,0,0,0
20,19/05/2015 07:14,0,C,M14879,M,300.0105208327531,310.01086614650075,1528.6528656903092,32.5,55.0,No failure,0,0,0,0,0,0
21,07/09/2015 14:49,0,A,H29434,H,298.9,309.3,1375.0,39.93731406813432,55.0,No failure,0,0,0,0,0,0
22,17/12/2015 17:09,0,C,L47201,L,300.0109561246167,310.00859210000357,1528.4343811206613,44.8,63.0,No failure,0,0,0,0,0,0
23,16/12/2015 19:45,0,A,M14882,M,298.9,309.3,1581.0,39.92757360369686,59.0,No failure,0,0,0,0,0,0
24,31/03/2016 14:36,0,B,L47203,L,300.0114299745662,310.0141761555767,1758.0,25.7,59.0,No failure,0,0,0,0,0,0
25,02/04/2016 18:11,0,A,M14884,M,299.0,309.4,1561.0,39.92838706511033,63.0,No failure,0,0,0,0,0,0
26,03/04/2016 18:18,0,C,L47205,L,300.0101952211988,310.012566881789,1528.8162788314087,23.3,73.0,No failure,0,0,0,0,0,0
27,01/04/2016 19:25,0,C,L47206,L,300.0107509138913,310.0096643481019,1528.5374019998312,39.0,75.0,No failure,0,0,0,0,0,0
28,29/06/2016 06:11,0,B,H29441,H,300.0116569692683,310.0148541889942,1811.0,24.6,74.0,No failure,0,0,0,0,0,0
29,02/07/2016 06:33,0,B,L47208,L,300.0104863302741,310.0079021473427,1439.0,44.2,74.0,No failure,0,0,0,0,0,0
30,30/06/2016 23:40,0,C,L47209,L,300.01043608249785,310.0113098634268,1528.695512663163,30.1,84.0,No failure,0,0,0,0,0,0
31,10/09/2016 22:05,0,C,M14890,M,300.0110766596385,310.0079636128137,1528.3739727975703,48.2,86.0,No failure,0,0,0,0,0,0
32,09/09/2016 23:06,0,A,L47211,L,299.0,309.4,1798.0,39.91718038683221,85.0,No failure,0,0,0,0,0,0
33,11/09/2016 07:38,0,A,L47212,L,299.0,309.4,1419.0,39.935102072869796,85.0,No failure,0,0,0,0,0,0
34,08/09/2016 16:44,0,C,L47213,L,300.0105208327531,310.01086614650075,1528.6528656903092,32.5,93.0,No failure,0,0,0,0,0,0
35,27/12/2016 12:23,0,C,M14894,M,300.0105987242615,310.0104594188134,1528.6137865897742,34.7,95.0,No failure,0,0,0,0,0,0
36,27/12/2016 23:41,0,C,M14895,M,300.01109085426253,310.00788954637136,1528.366862291901,48.6,98.0,No failure,0,0,0,0,0,0
37,30/12/2016 18:27,0,A,M14896,M,298.9,309.2,1581.0,39.92747443887693,95.33333333333331,No failure,0,0,0,0,0,0
38,27/12/2016 21:57,0,A,L47217,L,298.8,309.1,1439.0,39.93432127386888,95.33333333333331,No failure,0,0,0,0,0,0
39,13/04/2017 16:14,0,B,H29452,H,300.0104156553603,310.0061633892282,1379.0,50.7,96.5,No failure,0,0,0,0,0,0
40,13/04/2017 22:34,0,C,L47219,L,300.0112287448961,310.00716843214616,1528.2975813242722,52.5,111.0,No failure,0,0,0,0,0,0
